"election_id","cand_id","n_posts","n_attacks_fb","gender","birthyear","incumbent","party.x","ltw_id","invited","participated","n_tweets","n_attacks_tw","prop_attacks_fb","prop_attacks_tw","invited_bin","participated_bin","any_posts_tweets","jahr","land","wahl","female","age","immigr","party.y","incumb","governing","lr_self","extr_self","lr_party","extr_party","lr_voters","extr_voters","dist_party","dist_voters","big5_extra","big5_agrea","big5_consc","big5_emot","big5_open","race_chance","race_close","media_diffic","media_impact","camp_personal","camp_time","camp_budget","camp_staff","camp_manager"
"ltw_mv_2021",8713,10,0,"male",1971,0,"FREIE WÄHLER","PW937894",9,9,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",9024,35,1,"male",1973,0,"NPD","UN473982",1,0,137,9,0.0285714285714286,0.0656934306569343,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",9265,14,0,"female",1969,0,"DIE LINKE","FX543555",1,0,1741,57,0,0.0327398047099368,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",9645,24,0,"male",1993,0,"CDU","DQ352218",1,1,196,26,0,0.13265306122449,1,1,1,2021,12,121,0,28,0,1,0,1,0.7,0.4,0.6,0.2,0.6,0.2,0.6875,0.642857142857143,1,0.625,0.866666666666667,0.25,0.75,0,0.5,0.75,1,0.9,30,"5.000 Euro bis unter 10.000 Euro",10,0
"ltw_mv_2021",9715,57,0,"male",1987,1,"CDU","DR161729",1,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",9918,67,3,"male",1955,0,"AfD","BE314484",1,0,4,0,0.0447761194029851,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",9943,36,0,"male",1997,0,"FREIE WÄHLER","PX984259",1,1,1988,75,0,0.0377263581488934,1,1,1,2021,12,121,0,24,0,7,0,0,0.4,0.2,0.6,0.2,0.7,0.4,0.5,0.357142857142857,0.583333333333333,0.6875,0.733333333333333,0.3125,0.75,0,0,1,1,0.8,20,"5.000 Euro bis unter 10.000 Euro",1,0
"ltw_mv_2021",10122,1,0,"male",1980,0,"CDU","DS458192",1,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",10174,75,0,"male",1972,0,"CDU","DU555936",1,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",10294,29,0,"female",1962,0,"CDU","DV991413",1,1,1,0,0,0,1,1,1,2021,12,121,1,59,0,1,0,1,0.6,0.2,0.6,0.2,0.7,0.4,0.625,0.5,0.916666666666667,0.625,0.666666666666667,0.1875,0.625,1,0.5,0.25,1,1,40,"10.000 bis unter 30.000 Euro",8,0
"ltw_mv_2021",10506,43,0,"male",1974,0,"AfD","BG575144",1,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",10773,15,0,"male",1979,0,"GRÜNE","SQ467476",2,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",10794,29,2,"male",1967,0,"SPD","WN844277",1,2,1090,40,0.0689655172413793,0.036697247706422,1,1,1,2021,12,121,0,54,0,2,0,1,0.3,0.4,0.3,0.4,0.3,0.4,0.625,0.571428571428571,0.833333333333333,0.75,0.466666666666667,0.25,0.6875,0.25,0.5,0.5,NA,0.3,16,"10.000 bis unter 30.000 Euro",3,0
"ltw_mv_2021",10968,73,0,"male",1963,1,"SPD","WR154191",1,0,188,3,0,0.0159574468085106,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",11337,215,23,"male",1977,0,"AfD","BK419368",2,2,20,2,0.106976744186047,0.1,1,1,1,2021,12,121,0,44,0,3,0,0,0.8,0.6,0.8,0.6,0.8,0.6,0.625,0.571428571428571,0.833333333333333,0.375,0.733333333333333,0.1875,0.5625,0.75,0.5,0.75,1,0.9,35,"1.000 Euro bis unter 5.000 Euro",2.5,1
"ltw_mv_2021",11598,12,0,"male",1975,0,"DIE LINKE","GC734786",2,0,1815,237,0,0.130578512396694,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",11752,66,7,"female",1969,1,"DIE LINKE","GD366482",1,0,342,33,0.106060606060606,0.0964912280701754,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",12016,74,0,"male",1974,1,"SPD","WT624687",1,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",12049,3,1,"male",1977,0,"DIE LINKE","GD776247",1,1,147,9,0.333333333333333,0.0612244897959184,1,1,1,2021,12,121,0,44,0,5,0,0,0.2,0.6,0.1,0.8,0.3,0.4,0.6875,0.5,0.5,0.375,0.666666666666667,0.5,0.5,0,0,0.75,1,0.9,15,"Unter 1.000 Euro",5,0
"ltw_mv_2021",12109,36,2,"male",1981,1,"CDU","DY561138",1,0,1,0,0.0555555555555556,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
